participant_email,puzzle_id,max_moves,player_moves,time_taken_seconds
*,dataset-1,2,3,7
*,dataset-14,3,3,6
*,dataset-1,2,2,7
*,dataset-14,3,3,8
*,dataset-52,4,4,4
*,dataset-59,5,5,5
*,dataset-91,6,8,19
*,dataset-117,7,8,6
*,dataset-137,8,8,7
*,dataset-166,9,17,15
*,dataset-1,2,2,3
*,dataset-14,3,3,29
*,dataset-202,10,12,17
*,dataset-209,11,22,18
*,dataset-238,12,55,103
*,dataset-267,13,19,68
*,dataset-287,14,36,83
*,dataset-302,15,35,42
*,dataset-334,16,41,48
*,dataset-363,17,45,55
*,dataset-375,18,53,64
*,dataset-400,19,94,115
*,dataset-430,20,31,53
*,dataset-4,2,2,8
*,dataset-25,3,3,6
*,dataset-42,4,4,6
*,dataset-69,5,6,9
*,dataset-85,6,6,14
*,dataset-4,2,2,5
*,dataset-25,3,3,6
*,dataset-42,4,4,6
*,dataset-69,5,6,11
*,dataset-85,6,6,15
*,dataset-115,7,7,21
*,dataset-4,2,4,11
*,dataset-25,3,3,4
*,dataset-42,4,4,6
*,dataset-69,5,6,7
*,dataset-85,6,11,23
*,dataset-115,7,7,26
*,dataset-147,8,8,25
*,dataset-160,9,14,42
*,dataset-186,10,10,20
*,dataset-204,11,13,31
*,dataset-147,8,8,33
*,dataset-242,12,12,25
*,dataset-160,9,9,70
*,dataset-186,10,11,23
*,dataset-263,13,13,19
*,dataset-4,2,2,5
*,dataset-25,3,3,5
*,dataset-204,11,13,52
*,dataset-42,4,4,9
*,dataset-69,5,5,11
*,dataset-85,6,6,25
*,dataset-285,14,15,32
*,dataset-115,7,7,19
*,dataset-317,15,21,42
*,dataset-344,16,16,21
*,dataset-242,12,13,167
*,dataset-263,13,13,59
*,dataset-147,8,28,269
*,dataset-160,9,12,103
*,dataset-186,10,10,12
*,dataset-204,11,13,17
*,dataset-242,12,13,23
*,dataset-263,13,16,28
*,dataset-285,14,80,183
*,dataset-317,15,22,34
*,dataset-344,16,16,19
*,dataset-285,14,15,39
*,dataset-363,17,30,41
*,dataset-391,18,31,41
*,dataset-317,15,23,40
*,dataset-344,16,16,21
*,dataset-400,19,120,203
*,dataset-423,20,29,34
*,dataset-363,17,18,75
*,dataset-4,2,2,10
*,dataset-25,3,3,45
*,dataset-42,4,4,39
*,dataset-69,5,5,31
*,dataset-4,2,3,23
*,dataset-25,3,3,7
*,dataset-42,4,4,6
*,dataset-69,5,6,10
*,dataset-85,6,6,75
*,dataset-85,6,6,17
*,dataset-391,18,18,40
*,dataset-115,7,7,10
*,dataset-147,8,8,39
*,dataset-115,7,7,75
*,dataset-160,9,9,18
*,dataset-186,10,10,9
*,dataset-204,11,12,15
*,dataset-242,12,12,32
*,dataset-263,13,13,31
*,dataset-285,14,15,54
*,dataset-4,2,2,3
*,dataset-25,3,4,5
*,dataset-317,15,15,48
*,dataset-344,16,16,27
*,dataset-4,2,2,11
*,dataset-25,3,3,6
*,dataset-42,4,5,8
*,dataset-69,5,7,15
*,dataset-85,6,6,12
*,dataset-115,7,7,11
*,dataset-147,8,9,24
*,dataset-160,9,9,51
*,dataset-160,9,11,16
*,dataset-186,10,10,21
*,dataset-204,11,11,14
*,dataset-186,10,10,87
*,dataset-242,12,14,17
*,dataset-263,13,16,20
*,dataset-204,11,11,81
*,dataset-242,12,12,108
*,dataset-363,17,18,25
*,dataset-4,2,4,24
*,dataset-25,3,3,10
*,dataset-42,4,4,14
*,dataset-423,20,26,165
*,dataset-69,5,5,23
*,dataset-85,6,6,13
*,dataset-115,7,7,16
*,dataset-285,14,24,81
*,dataset-391,18,18,37
*,dataset-147,8,14,70
*,dataset-160,9,10,35
*,dataset-186,10,11,21
*,dataset-204,11,11,18
*,dataset-242,12,15,18
*,dataset-263,13,14,20
*,dataset-317,15,25,37
*,dataset-344,16,23,32
*,dataset-400,19,33,91
*,dataset-363,17,18,22
*,dataset-423,20,21,41
*,dataset-4,2,2,3
*,dataset-285,14,49,214
*,dataset-25,3,3,3
*,dataset-42,4,4,5
*,dataset-69,5,5,50
*,dataset-85,6,6,19
*,dataset-391,18,21,29
*,dataset-115,7,7,22
*,dataset-317,15,38,119
*,dataset-147,8,8,19
*,dataset-160,9,9,17
*,dataset-344,16,16,34
*,dataset-186,10,10,16
*,dataset-204,11,11,20
*,dataset-363,17,35,86
*,dataset-242,12,12,62
*,dataset-400,19,24,26
*,dataset-391,18,20,62
*,dataset-263,13,13,30
*,dataset-4,2,2,3
*,dataset-25,3,3,3
*,dataset-423,20,28,37
*,dataset-42,4,4,3
*,dataset-69,5,5,6
*,dataset-85,6,6,9
*,dataset-115,7,7,10
*,dataset-147,8,8,12
*,dataset-400,19,35,109
*,dataset-160,9,9,13
*,dataset-186,10,10,8
*,dataset-204,11,12,11
*,dataset-242,12,12,16
*,dataset-263,13,13,10
*,dataset-423,20,34,98
*,dataset-285,14,14,145
*,dataset-317,15,15,83
*,dataset-285,14,25,30
*,dataset-317,15,17,15
*,dataset-344,16,17,14
*,dataset-363,17,19,13
*,dataset-344,16,16,17
*,dataset-391,18,20,30
*,dataset-400,19,29,43
*,dataset-423,20,22,21
*,dataset-4,2,2,12
*,dataset-25,3,3,6
*,dataset-42,4,4,7
*,dataset-69,5,6,19
*,dataset-85,6,6,19
*,dataset-115,7,7,29
*,dataset-147,8,8,44
*,dataset-4,2,2,5
*,dataset-25,3,3,9
*,dataset-42,4,4,7
*,dataset-69,5,6,13
*,dataset-4,2,3,11
*,dataset-25,3,3,4
*,dataset-42,4,4,6
*,dataset-69,5,6,6
*,dataset-85,6,9,12
*,dataset-115,7,10,13
*,dataset-147,8,12,29
*,dataset-160,9,14,24
*,dataset-186,10,10,19
*,dataset-204,11,11,16
*,dataset-242,12,12,17
*,dataset-263,13,13,37
*,dataset-4,2,3,14
*,dataset-25,3,3,11
*,dataset-42,4,6,15
*,dataset-4,2,2,22
*,dataset-25,3,3,8
*,dataset-42,4,5,46
*,dataset-69,5,6,8
*,dataset-85,6,9,17
*,dataset-115,7,7,15
*,dataset-4,2,4,36
*,dataset-147,8,9,22
*,dataset-160,9,11,22
*,dataset-186,10,10,18
*,dataset-204,11,11,15
*,dataset-242,12,15,28
*,dataset-263,13,26,41
*,dataset-317,15,25,46
*,dataset-344,16,17,21
*,dataset-4,2,5,35
*,dataset-25,3,10,24
*,dataset-42,4,13,12
*,dataset-69,5,18,21
*,dataset-85,6,14,70
*,dataset-115,7,13,28
*,dataset-147,8,22,34
*,dataset-160,9,12,46
*,dataset-186,10,16,29
*,dataset-4,2,2,10
*,dataset-391,18,61,133
*,dataset-25,3,3,3
*,dataset-42,4,4,4
*,dataset-69,5,6,6
*,dataset-204,11,30,49
*,dataset-85,6,6,11
*,dataset-115,7,7,12
*,dataset-147,8,8,16
*,dataset-160,9,9,20
*,dataset-186,10,10,13
*,dataset-242,12,38,69
*,dataset-204,11,11,14
*,dataset-400,19,73,119
*,dataset-242,12,13,36
*,dataset-423,20,36,47
*,dataset-263,13,34,77
*,dataset-263,13,21,32
*,dataset-285,14,56,152
*,dataset-317,15,27,44
*,dataset-285,14,15,58
*,dataset-344,16,22,37
*,dataset-317,15,18,34
*,dataset-344,16,16,19
*,dataset-363,17,26,35
*,dataset-4,2,4,13
*,dataset-391,18,18,45
*,dataset-25,3,10,19
*,dataset-42,4,13,25
*,dataset-69,5,10,24
*,dataset-400,19,32,57
*,dataset-423,20,26,37
*,dataset-4,2,4,27
*,dataset-4,2,2,7
*,dataset-25,3,3,7
*,dataset-25,3,4,4
*,dataset-42,4,4,3
*,dataset-42,4,4,7
*,dataset-69,5,6,8
*,dataset-69,5,6,13
*,dataset-85,6,12,17
*,dataset-115,7,7,6
*,dataset-85,6,6,22
*,dataset-147,8,9,18
*,dataset-115,7,7,19
*,dataset-160,9,13,12
*,dataset-186,10,10,9
*,dataset-204,11,17,21
*,dataset-147,8,14,78
*,dataset-242,12,18,47
*,dataset-263,13,24,21
*,dataset-160,9,18,59
*,dataset-186,10,10,28
*,dataset-4,2,2,5
*,dataset-204,11,15,47
*,dataset-242,12,15,53
*,dataset-263,13,18,54
*,dataset-285,14,68,253
*,dataset-317,15,23,82
*,dataset-344,16,22,41
*,dataset-363,17,21,48
*,dataset-4,2,2,8
*,dataset-25,3,3,4
*,dataset-42,4,6,7
*,dataset-69,5,7,8
*,dataset-85,6,6,17
*,dataset-115,7,8,13
*,dataset-147,8,8,19
*,dataset-160,9,13,31
*,dataset-4,2,3,13
*,dataset-25,3,3,4
*,dataset-186,10,10,18
*,dataset-42,4,4,5
*,dataset-204,11,11,16
*,dataset-69,5,6,18
*,dataset-85,6,6,19
*,dataset-242,12,18,42
*,dataset-115,7,7,20
*,dataset-391,18,39,236
*,dataset-147,8,8,42
*,dataset-263,13,22,43
*,dataset-285,14,20,39
*,dataset-160,9,9,48
*,dataset-186,10,10,21
*,dataset-204,11,11,11
*,dataset-317,15,21,70
*,dataset-242,12,12,52
*,dataset-344,16,19,37
*,dataset-400,19,31,424
*,dataset-363,17,20,67
*,dataset-391,18,21,58
*,dataset-423,20,30,120
*,dataset-400,19,55,112
*,dataset-423,20,38,100
*,dataset-4,2,3,5
*,dataset-25,3,3,7
*,dataset-42,4,4,9
*,dataset-69,5,6,13
*,dataset-85,6,6,20
*,dataset-4,2,2,3
*,dataset-25,3,3,3
*,dataset-42,4,4,5
*,dataset-69,5,5,17
*,dataset-85,6,6,20
*,dataset-115,7,7,17
*,dataset-147,8,8,19
*,dataset-160,9,9,15
*,dataset-186,10,10,14
*,dataset-204,11,11,20
*,dataset-242,12,12,23
*,dataset-263,13,14,20
*,dataset-285,14,14,21
*,dataset-4,2,2,6
*,dataset-317,15,15,32
*,dataset-25,3,3,3
*,dataset-42,4,6,6
*,dataset-69,5,6,10
*,dataset-344,16,17,20
*,dataset-85,6,6,11
*,dataset-115,7,7,12
*,dataset-4,2,2,9
*,dataset-147,8,8,15
*,dataset-25,3,3,6
*,dataset-42,4,4,7
*,dataset-160,9,9,14
*,dataset-69,5,6,16
*,dataset-186,10,10,16
*,dataset-204,11,11,13
*,dataset-85,6,6,41
*,dataset-242,12,12,18
*,dataset-115,7,7,21
*,dataset-263,13,14,21
*,dataset-363,17,18,19
*,dataset-147,8,8,36
*,dataset-285,14,15,19
*,dataset-160,9,10,25
*,dataset-317,15,16,17
*,dataset-186,10,10,15
*,dataset-204,11,11,16
*,dataset-344,16,17,20
*,dataset-242,12,12,26
*,dataset-263,13,14,31
*,dataset-363,17,27,28
*,dataset-391,18,19,44
*,dataset-285,14,14,33
*,dataset-317,15,17,65
*,dataset-391,18,22,36
*,dataset-344,16,16,38
*,dataset-4,2,3,6
*,dataset-25,3,5,4
*,dataset-42,4,5,6
*,dataset-69,5,8,8
*,dataset-85,6,8,15
*,dataset-115,7,7,7
*,dataset-147,8,8,19
*,dataset-160,9,16,20
*,dataset-186,10,11,10
*,dataset-204,11,13,10
*,dataset-400,19,21,56
*,dataset-242,12,17,32
*,dataset-423,20,21,38
*,dataset-263,13,30,68
*,dataset-363,17,17,51
*,dataset-400,19,42,75
*,dataset-423,20,27,29
*,dataset-285,14,16,30
*,dataset-391,18,18,70
*,dataset-317,15,23,42
*,dataset-344,16,16,11
*,dataset-363,17,20,27
*,dataset-391,18,25,49
*,dataset-400,19,31,39
*,dataset-400,19,23,104
*,dataset-423,20,28,36
*,dataset-423,20,27,107
*,dataset-4,2,2,3
*,dataset-4,2,3,4
*,dataset-25,3,3,4
*,dataset-42,4,4,11
*,dataset-69,5,7,24
*,dataset-85,6,7,12
*,dataset-115,7,8,9
*,dataset-147,8,8,14
*,dataset-160,9,10,24
*,dataset-186,10,12,53
*,dataset-4,2,2,9
*,dataset-25,3,5,4
*,dataset-42,4,7,5
*,dataset-69,5,6,8
*,dataset-85,6,8,132
*,dataset-115,7,10,8
*,dataset-147,8,10,52
*,dataset-160,9,9,8
*,dataset-186,10,12,8
*,dataset-204,11,11,25
*,dataset-242,12,22,23
*,dataset-263,13,16,19
*,dataset-285,14,38,45
*,dataset-317,15,23,26
*,dataset-4,2,2,2
*,dataset-25,3,3,2
*,dataset-42,4,4,5
*,dataset-69,5,5,4
*,dataset-85,6,6,6
*,dataset-344,16,18,29
*,dataset-115,7,9,11
*,dataset-147,8,9,12
*,dataset-160,9,13,12
*,dataset-186,10,10,7
*,dataset-204,11,15,13
*,dataset-242,12,15,15
*,dataset-263,13,17,13
*,dataset-285,14,17,15
*,dataset-317,15,16,20
*,dataset-344,16,16,19
*,dataset-363,17,19,19
*,dataset-363,17,38,298
*,dataset-391,18,25,20
*,dataset-4,2,2,4
*,dataset-25,3,3,5
*,dataset-391,18,18,91
*,dataset-42,4,4,7
*,dataset-400,19,31,27
*,dataset-69,5,5,10
*,dataset-85,6,6,10
*,dataset-115,7,8,16
*,dataset-147,8,8,20
*,dataset-423,20,79,66
*,dataset-160,9,9,23
*,dataset-400,19,24,78
*,dataset-186,10,11,13
*,dataset-423,20,23,29
*,dataset-204,11,11,19
*,dataset-242,12,12,26
*,dataset-263,13,13,23
*,dataset-285,14,15,27
*,dataset-317,15,15,34
*,dataset-344,16,16,23
*,dataset-363,17,17,41
*,dataset-391,18,19,53
*,dataset-400,19,19,89
*,dataset-423,20,22,31
*,dataset-4,2,3,17
*,dataset-25,3,3,6
*,dataset-42,4,4,7
*,dataset-69,5,6,10
*,dataset-85,6,6,26
*,dataset-115,7,7,20
*,dataset-147,8,8,34
*,dataset-160,9,9,53
*,dataset-186,10,10,19
*,dataset-204,11,11,20
*,dataset-242,12,12,26
*,dataset-263,13,13,86
*,dataset-4,2,2,6
*,dataset-25,3,3,6
*,dataset-42,4,4,8
*,dataset-69,5,5,21
*,dataset-85,6,6,18
*,dataset-115,7,7,26
*,dataset-147,8,8,43
*,dataset-160,9,9,124
*,dataset-186,10,10,23
*,dataset-285,14,14,45
*,dataset-204,11,11,30
*,dataset-4,2,2,4
*,dataset-25,3,3,3
*,dataset-42,4,4,5
*,dataset-242,12,12,17
*,dataset-69,5,6,6
*,dataset-85,6,6,12
*,dataset-115,7,7,8
*,dataset-147,8,8,11
*,dataset-160,9,10,12
*,dataset-186,10,10,10
*,dataset-263,13,13,23
*,dataset-204,11,11,24
*,dataset-242,12,12,14
*,dataset-317,15,15,40
*,dataset-344,16,16,57
*,dataset-263,13,13,40
*,dataset-285,14,14,47
*,dataset-317,15,15,50
*,dataset-285,14,14,21
*,dataset-317,15,15,23
*,dataset-344,16,16,20
*,dataset-344,16,16,22
*,dataset-363,17,19,64
*,dataset-363,17,18,39
*,dataset-363,17,17,27
*,dataset-391,18,18,32
*,dataset-4,2,3,6
*,dataset-25,3,3,5
*,dataset-391,18,18,80
*,dataset-42,4,4,13
*,dataset-69,5,5,19
*,dataset-85,6,6,19
*,dataset-115,7,7,11
*,dataset-147,8,8,23
*,dataset-160,9,9,15
*,dataset-186,10,10,13
*,dataset-204,11,11,11
*,dataset-242,12,12,26
*,dataset-391,18,18,38
*,dataset-400,19,67,177
*,dataset-400,19,22,136
*,dataset-423,20,27,63
*,dataset-400,19,23,58
*,dataset-4,2,2,6
*,dataset-423,20,20,98
*,dataset-4,2,2,17
*,dataset-25,3,3,5
*,dataset-42,4,4,19
*,dataset-69,5,5,19
*,dataset-85,6,6,68
*,dataset-115,7,7,39
*,dataset-147,8,8,88
*,dataset-160,9,9,52
*,dataset-186,10,10,48
*,dataset-204,11,11,43
*,dataset-242,12,12,65
*,dataset-263,13,14,61
*,dataset-285,14,20,94
*,dataset-317,15,19,79
*,dataset-344,16,16,33
*,dataset-4,2,3,24
*,dataset-25,3,3,10
*,dataset-42,4,4,7
*,dataset-363,17,23,44
*,dataset-69,5,6,15
*,dataset-85,6,6,18
*,dataset-115,7,7,17
*,dataset-147,8,8,32
*,dataset-391,18,27,87
*,dataset-160,9,9,48
*,dataset-186,10,10,29
*,dataset-204,11,11,23
*,dataset-400,19,27,51
*,dataset-423,20,24,41
*,dataset-242,12,12,69
*,dataset-263,13,13,47
*,dataset-285,14,14,152
*,dataset-317,15,16,72
*,dataset-344,16,16,42
*,dataset-363,17,20,98
*,dataset-391,18,18,47
*,dataset-400,19,27,119
*,dataset-423,20,26,106
*,dataset-4,2,2,8
*,dataset-25,3,3,10
*,dataset-42,4,4,11
*,dataset-69,5,6,16
*,dataset-85,6,6,15
*,dataset-115,7,7,13
*,dataset-147,8,8,39
*,dataset-160,9,10,16
*,dataset-4,2,2,11
*,dataset-186,10,10,36
*,dataset-25,3,3,9
*,dataset-42,4,4,9
*,dataset-204,11,11,28
*,dataset-69,5,6,15
*,dataset-85,6,6,16
*,dataset-115,7,8,22
*,dataset-147,8,8,50
*,dataset-242,12,12,28
*,dataset-160,9,10,35
*,dataset-186,10,10,15
*,dataset-204,11,11,28
*,dataset-263,13,13,22
*,dataset-242,12,12,59
*,dataset-263,13,13,139
*,dataset-285,14,20,112
